,section,lecture,lab,assignment 1 [[< 0.5 hour]] (741790),assignment 2 [[~ 1 hour]] (759752),assignment 3 [[~4 hours]] (759753),assignment 4 [[~4 hours]] (759755),assignment 5 [[~4 hours]] (741792),assignment 6 [[~8 hours]] if you have a4 working (759757),assignment 7 [[~6 hours]] (759758),assignment 8 [[~6 hours if you have a6 working]] (759759),"assignment 9 [[~4 hours, if you have a8 working]] (759760)",main activity for module 1 (741775),main activity for module 2 (749660),main activity for module 3 (749880),main activity for module 4 (749896),main activity for module 5 (815722),main activity for module 6 (823394),main activity for module 7 (839861),main activity for module 8 (850715),main activity for module 9 (852281),main activity for module 10 (852284),main activity for module 11 (851912),tutorial activity for module 1 (741773),tutorial activity for module 2 (749665),tutorial activity for module 3 (749666),tutorial activity for module 4 (749933),tutorial activity for module 5 (815721),tutorial activity for module 6 (824437),tutorial activity for module 7 (840096),tutorial activity for module 8 (851255),tutorial activity for module 9 (852251),tutorial activity for module 10 (852253),tutorial activity for module 11 (851913),pre-test 1 [[~20 min]] (563436),post-test 1 [[~20 min]] (563477),pre-test 2 [[~10 min]] (746540),post-test 2 [[~10 min]] (746541),pre-test 3 [[~15 min]] (563831),post-test 3 [[~15 min]] (563845),pre-test 4 [[~10 min]] (595624),post-test 4 [[~10 min]] (595625),pre-test 5 [[~10 min]] (595630),post-test 5 [[~10 min]] (595633),pre-test 6 [[~15 min]] (823430),post-test 6 [[~15 min]] (823432),pre-test 7 [[~10min]] (595636),post-test 7 [[~10min]] (667671),pre-test 8 (850507),post-test 8 (850527),sample solution bonus (820874),logs module 0 (741711),logs for module 1 (741731),logs for module 2 (741733),logs for module 3 (741741),logs for module 4 (741744),logs for module 5 (741743),logs for module 6 (741742),logs for module 7 (741749),logs for module 8 (741750),logs for module 9 (741751),logs for module 10 (741752),logs for module 11 (741753),your impression of hci [[~10 min]] (743336),module feedback #1 [[~10 min]] (739999),module feedback #2 (742559),your impression of hci [[~10 min]] (778153),341 background survey (810420),overall participation and readings (880657),overall pre-tests (880658),overall main activities (880659),overall post-tests (880660),overall project (880661),overall grade (887945),overall current points,overall final points,overall current score,overall unposted current score,overall final score,overall unposted final score,project current points,project final points,project current score,project unposted current score,project final score,project unposted final score,main activities current points,main activities final points,main activities current score,main activities unposted current score,main activities final score,main activities unposted final score,tutorial activities current points,tutorial activities final points,tutorial activities current score,tutorial activities unposted current score,tutorial activities final score,tutorial activities unposted final score,pre/post tests current points,pre/post tests final points,pre/post tests current score,pre/post tests unposted current score,pre/post tests final score,pre/post tests unposted final score,reading logs current points,reading logs final points,reading logs current score,reading logs unposted current score,reading logs final score,reading logs unposted final score,surveys current points,surveys final points,surveys current score,surveys unposted current score,surveys final score,surveys unposted final score,migrated quizzes current points,migrated quizzes final points,migrated quizzes current score,migrated quizzes unposted current score,migrated quizzes final score,migrated quizzes unposted final score,current points,final points,current score,unposted current score,final score,unposted final score
0,,,,,,Manual Posting,,Manual Posting,,,,,,,,,,Manual Posting,,Manual Posting,,,,,,Manual Posting,,Manual Posting,,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,3.0,4.0,12,13.0,10,18.0,12.0,22.0,0.0,8.0,5.0,7.0,12.0,12.0,8,8.0,14,0.0,0.0,14.0,7.0,3.0,5,5.0,6,5.0,7,4.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,20.0,25.0,20.0,20.0,100.0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
47967,COSC 341 101 2020W,101.0,L2A,3.0,3.0,12,13.0,7,16.0,11.0,10.0,,7.0,4.5,7.0,10.5,8.0,7.5,7.0,9.5,,,,,,,,,,,,,,,6.0,5.0,3.0,3.0,4.0,4.5,3.0,1.0,5.5,2.67,5.0,5.0,6.33,5.33,4.0,2.0,,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,9.95,17.8,25.0,14.9,16.0,83.0,166.65,166.65,83.33,83.33,83.33,83.33,75,75,79.79,79.79,79.79,79.79,61,61,82.43,82.43,69.32,69.32,0,0,,,0,0,65.33,65.33,77.78,77.78,76.86,76.86,9.95,9.95,90.45,90.45,82.92,82.92,0,0,,,0,0,0,0,,,,,377.93,377.93,81.63,81.63,71.99,71.99
